mouse,group,session_key,session_label,ks_dir,classic_dir,positive_count,negative_count,auc
AL032,acute,AL032_2019-11-21,2019-11-21,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_2019-11-21/classic,278,193,0.6827822715920528
AL032,acute,AL032_2019-11-22,2019-11-22,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_2019-11-22/classic,270,186,0.6897849462365591
AL032,chronic,AL032_Chronic_1,Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_Chronic_1/classic,315,317,0.740293425466927
AL032,chronic,AL032_Chronic_2,Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_Chronic_2/classic,315,317,0.8920534775424365
AV008,acute,AV008_2022-03-12,2022-03-12,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_2022-03-12/classic,63,42,0.600907029478458
AV008,acute,AV008_2022-03-13,2022-03-13,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_2022-03-13/classic,48,33,0.7026515151515151
AV008,chronic,AV008_Chronic_1,Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_Chronic_1/classic,74,79,0.7841258980499486
AV008,chronic,AV008_Chronic_2,Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_Chronic_2/classic,71,76,0.6645663454410674
CB016,acute,CB016_2021-09-28,2021-09-28,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_2021-09-28/classic,355,245,0.6735498706524864
CB016,acute,CB016_2021-09-29,2021-09-29,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_2021-09-29/classic,300,211,0.657993680884676
CB016,chronic,CB016_Chronic_1,Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_Chronic_1/classic,229,269,0.5300400967516762
CB016,chronic,CB016_Chronic_2,Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_Chronic_2/classic,230,270,0.4392270531400966
EB019,acute,EB019_2022-07-21,2022-07-21,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-21/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/EB019_2022-07-21/classic,40,26,0.8942307692307693
EB019,acute,EB019_2022-07-22,2022-07-22,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-22/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/EB019_2022-07-22/classic,46,28,0.8672360248447205
EB019,chronic,EB019_Chronic_1,Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/EB019_Chronic_1/classic,76,56,0.6790413533834585
EB019,chronic,EB019_Chronic_2,Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/EB019_Chronic_2/classic,76,51,0.6754385964912282
JF067,acute,JF067_2022-02-14,2022-02-14,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-14/Probe0/4,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/JF067_2022-02-14/classic,97,66,0.5785691971258982
JF067,acute,JF067_2022-02-15,2022-02-15,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-15/Probe0/5,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/JF067_2022-02-15/classic,70,47,0.6562310030395136
JF067,chronic,JF067_Chronic_1,Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/JF067_Chronic_1/classic,80,60,0.6429166666666667
JF067,chronic,JF067_Chronic_2,Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/JF067_Chronic_2/classic,78,85,0.876470588235294
